x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed
80+	5-11	0.7427181726281805	36	5688	704	82614	2020-03-01	1.6699836962757235	654	1.0001392206869835	6	0.5563175896584045	0.723386956575177
80+	65-80	1.1690732539705246	1567	5688	19468	82614	2020-03-01	1.6699836962757235	654	1.1622541803254847	5332	0.8255473621258511	1.138645012832542
80+	80+	1.6699836962757235	654	5688	5688	82614	2020-03-01	1.6699836962757235	654	1.6699836962757235	654	1	1.6265179284684494
0-4	0-4	4.251248804336273e-6	0	485	485	238158	2020-03-29	NA	0	NA	0	NA	4.022539044923383e-6
0-4	12-17	2.2209300265308882	10	485	2211	238158	2020-03-29	NA	0	2.6307615329871754	54	NA	2.101447870717604
0-4	18-24	2.0327216454201644	42	485	10146	238158	2020-03-29	NA	0	2.0312808610295985	878	NA	1.9233647717403128
0-4	25-64	1.0588432859286627	269	485	124751	238158	2020-03-29	NA	0	1.0568570638740058	69062	NA	1.0018793667777326
0-4	5-11	1.6915178397036836	10	485	2903	238158	2020-03-29	NA	0	1.5260364128523962	54	NA	1.6005171347422054
0-4	65-80	0.8011883603507438	89	485	54548	238158	2020-03-29	NA	0	1.0920668439190664	13644	NA	0.7580858261134339
0-4	80+	0.7403183313096088	65	485	43114	238158	2020-03-29	NA	0	1.4688069448876504	11464	NA	0.7004904983043824
12-17	0-4	2.2209300265308882	10	2211	485	238158	2020-03-29	2.6307615329871754	54	NA	0	NA	2.101447870717604
12-17	12-17	2.6307615329871754	54	2211	2211	238158	2020-03-29	2.6307615329871754	54	2.6307615329871754	54	1	2.4892311580374735
12-17	18-24	1.4544612475140204	137	2211	10146	238158	2020-03-29	2.6307615329871754	54	2.0312808610295985	878	0.6239588251624067	1.37621377311191
12-17	25-64	0.9670533209163056	1120	2211	124751	238158	2020-03-29	2.6307615329871754	54	1.0568570638740058	69062	0.5244866276243643	0.9150275415404648
12-17	5-11	2.0036561313932637	54	2211	2903	238158	2020-03-29	2.6307615329871754	54	1.5260364128523962	54	0.9640382609400922	1.8958629315951958
12-17	65-80	0.7997470151227105	405	2211	54548	238158	2020-03-29	2.6307615329871754	54	1.0920668439190664	13644	0.4296448474948604	0.7567220227408662
12-17	80+	1.076800848179955	431	2211	43114	238158	2020-03-29	2.6307615329871754	54	1.4688069448876504	11464	0.5253239964115235	1.018870843548931
18-24	0-4	2.0327216454201644	42	10146	485	238158	2020-03-29	2.0312808610295985	878	NA	0	NA	1.9233647717403128
18-24	12-17	1.4544612475140204	137	10146	2211	238158	2020-03-29	2.0312808610295985	878	2.6307615329871754	54	0.6239588251624067	1.37621377311191
18-24	18-24	2.0312808610295985	878	10146	10146	238158	2020-03-29	2.0312808610295985	878	2.0312808610295985	878	1	1.9220014990331364
18-24	25-64	1.054069836821236	5602	10146	124751	238158	2020-03-29	2.0312808610295985	878	1.0568570638740058	69062	0.6826572273996724	0.9973627208938236
18-24	5-11	1.1077553628155352	137	10146	2903	238158	2020-03-29	2.0312808610295985	878	1.5260364128523962	54	0.6228038027132029	1.0481600593697666
18-24	65-80	0.8356813522498197	1942	10146	54548	238158	2020-03-29	2.0312808610295985	878	1.0920668439190664	13644	0.5351190012727417	0.7907231553021499
18-24	80+	0.7665750063454051	1408	10146	43114	238158	2020-03-29	2.0312808610295985	878	1.4688069448876504	11464	0.43803187168586644	0.7253346100895183
25-64	0-4	1.0588432859286627	269	124751	485	238158	2020-03-29	1.0568570638740058	69062	NA	0	NA	1.0018793667777326
25-64	12-17	0.9670533209163056	1120	124751	2211	238158	2020-03-29	1.0568570638740058	69062	2.6307615329871754	54	0.5244866276243643	0.9150275415404648
25-64	18-24	1.054069836821236	5602	124751	10146	238158	2020-03-29	1.0568570638740058	69062	2.0312808610295985	878	0.6826572273996724	0.9973627208938236
25-64	25-64	1.0568570638740058	69062	124751	124751	238158	2020-03-29	1.0568570638740058	69062	1.0568570638740058	69062	1	1
25-64	5-11	0.9147475066923045	1391	124751	2903	238158	2020-03-29	1.0568570638740058	69062	1.5260364128523962	54	0.7083122203333522	0.8655356887517166
25-64	65-80	0.9809218668581582	28028	124751	54548	238158	2020-03-29	1.0568570638740058	69062	1.0920668439190664	13644	0.9129423925164081	0.9281499839368058
25-64	80+	0.8536647034571021	19279	124751	43114	238158	2020-03-29	1.0568570638740058	69062	1.4688069448876504	11464	0.6759922939042533	0.8077390336285556
5-11	0-4	1.6915178397036836	10	2903	485	238158	2020-03-29	1.5260364128523962	54	NA	0	NA	1.6005171347422054
5-11	12-17	2.0036561313932637	54	2903	2211	238158	2020-03-29	1.5260364128523962	54	2.6307615329871754	54	0.9640382609400922	1.8958629315951958
5-11	18-24	1.1077553628155352	137	2903	10146	238158	2020-03-29	1.5260364128523962	54	2.0312808610295985	878	0.6228038027132029	1.0481600593697666
5-11	25-64	0.9147475066923045	1391	2903	124751	238158	2020-03-29	1.5260364128523962	54	1.0568570638740058	69062	0.7083122203333522	0.8655356887517166
5-11	5-11	1.5260364128523962	54	2903	2903	238158	2020-03-29	1.5260364128523962	54	1.5260364128523962	54	1	1.4439383195855935
5-11	65-80	0.9249418406403866	615	2903	54548	238158	2020-03-29	1.5260364128523962	54	1.0920668439190664	13644	0.7065739964595491	0.8751815853412837
5-11	80+	1.221616393845884	642	2903	43114	238158	2020-03-29	1.5260364128523962	54	1.4688069448876504	11464	0.8158132148639211	1.1558955658279255
65-80	0-4	0.8011883603507438	89	54548	485	238158	2020-03-29	1.0920668439190664	13644	NA	0	NA	0.7580858261134339
65-80	12-17	0.7997470151227105	405	54548	2211	238158	2020-03-29	1.0920668439190664	13644	2.6307615329871754	54	0.4296448474948604	0.7567220227408662
65-80	18-24	0.8356813522498197	1942	54548	10146	238158	2020-03-29	1.0920668439190664	13644	2.0312808610295985	878	0.5351190012727417	0.7907231553021499
65-80	25-64	0.9809218668581582	28028	54548	124751	238158	2020-03-29	1.0920668439190664	13644	1.0568570638740058	69062	0.9129423925164081	0.9281499839368058
65-80	5-11	0.9249418406403866	615	54548	2903	238158	2020-03-29	1.0920668439190664	13644	1.5260364128523962	54	0.7065739964595491	0.8751815853412837
65-80	65-80	1.0920668439190664	13644	54548	54548	238158	2020-03-29	1.0920668439190664	13644	1.0920668439190664	13644	1	1.0333155553845625
65-80	80+	0.9949484609476246	9825	54548	43114	238158	2020-03-29	1.0920668439190664	13644	1.4688069448876504	11464	0.7770382634993018	0.941421971766504
80+	0-4	0.7403183313096088	65	43114	485	238158	2020-03-29	1.4688069448876504	11464	NA	0	NA	0.7004904983043824
80+	12-17	1.076800848179955	431	43114	2211	238158	2020-03-29	1.4688069448876504	11464	2.6307615329871754	54	0.5253239964115235	1.018870843548931
80+	18-24	0.7665750063454051	1408	43114	10146	238158	2020-03-29	1.4688069448876504	11464	2.0312808610295985	878	0.43803187168586644	0.7253346100895183
80+	25-64	0.8536647034571021	19279	43114	124751	238158	2020-03-29	1.4688069448876504	11464	1.0568570638740058	69062	0.6759922939042533	0.8077390336285556
80+	5-11	1.221616393845884	642	43114	2903	238158	2020-03-29	1.4688069448876504	11464	1.5260364128523962	54	0.8158132148639211	1.1558955658279255
80+	65-80	0.9949484609476246	9825	43114	54548	238158	2020-03-29	1.4688069448876504	11464	1.0920668439190664	13644	0.7770382634993018	0.941421971766504
80+	80+	1.4688069448876504	11464	43114	43114	238158	2020-03-29	1.4688069448876504	11464	1.4688069448876504	11464	1	1.3897876970265068
0-4	0-4	2.007026997576808	8	878	878	193398	2020-04-26	2.007026997576808	8	2.007026997576808	8	1	1.9142802613497165
0-4	12-17	3.0144629111305576	28	878	2046	193398	2020-04-26	2.007026997576808	8	2.7719922238179735	60	1.2615404004383857	2.8751615480584465
0-4	18-24	1.4801691080343466	54	878	8036	193398	2020-04-26	2.007026997576808	8	1.1799628928408523	394	0.9288822110699373	1.4117690047970222
0-4	25-64	1.009385131544538	417	878	90999	193398	2020-04-26	2.007026997576808	8	1.0484499255932869	44892	0.6607054524877828	0.9627404293756391
0-4	5-11	2.25379715463956	30	878	2932	193398	2020-04-26	2.007026997576808	8	2.114715381293866	94	1.0936137911933654	2.149646921253013
0-4	65-80	0.8576117367194318	165	878	42379	193398	2020-04-26	2.007026997576808	8	1.0690852508388764	9928	0.557594565777718	0.817980635779181
0-4	80+	0.8404376857266341	176	878	46128	193398	2020-04-26	2.007026997576808	8	1.2155814037352997	13374	0.5215884656568537	0.8016002149564322
12-17	0-4	3.0144629111305576	28	2046	878	193398	2020-04-26	2.7719922238179735	60	2.007026997576808	8	1.2615404004383857	2.8751615480584465
12-17	12-17	2.7719922238179735	60	2046	2046	193398	2020-04-26	2.7719922238179735	60	2.7719922238179735	60	1	2.6438956750837526
12-17	18-24	1.4585728469200425	124	2046	8036	193398	2020-04-26	2.7719922238179735	60	1.1799628928408523	394	0.7381525365871011	1.3911707286303436
12-17	25-64	1.0158944470585258	978	2046	90999	193398	2020-04-26	2.7719922238179735	60	1.0484499255932869	44892	0.5318203534190815	0.9689489428726519
12-17	5-11	1.9343438233054482	60	2046	2932	193398	2020-04-26	2.7719922238179735	60	2.114715381293866	94	0.7916756964472311	1.8449558496662204
12-17	65-80	0.807428772485644	362	2046	42379	193398	2020-04-26	2.7719922238179735	60	1.0690852508388764	9928	0.4204178529659974	0.7701166767966948
12-17	80+	0.8893474390950559	434	2046	46128	193398	2020-04-26	2.7719922238179735	60	1.2155814037352997	13374	0.44605944474597636	0.8482497994282373
18-24	0-4	1.4801691080343466	54	8036	878	193398	2020-04-26	1.1799628928408523	394	2.007026997576808	8	0.9288822110699373	1.4117690047970222
18-24	12-17	1.4585728469200425	124	8036	2046	193398	2020-04-26	1.1799628928408523	394	2.7719922238179735	60	0.7381525365871011	1.3911707286303436
18-24	18-24	1.1799628928408523	394	8036	8036	193398	2020-04-26	1.1799628928408523	394	1.1799628928408523	394	1	1.125435620755227
18-24	25-64	1.0732168283526775	4058	8036	90999	193398	2020-04-26	1.1799628928408523	394	1.0484499255932869	44892	0.9632118604548374	1.0236223992723121
18-24	5-11	1.1245238429115365	137	8036	2932	193398	2020-04-26	1.1799628928408523	394	2.114715381293866	94	0.6826304417883535	1.0725584650837776
18-24	65-80	0.9421232753184069	1659	8036	42379	193398	2020-04-26	1.1799628928408523	394	1.0690852508388764	9928	0.8377973392574634	0.8985868111777366
18-24	80+	0.8399884275745272	1610	8036	46128	193398	2020-04-26	1.1799628928408523	394	1.2155814037352997	13374	0.701292335754414	0.8011717174753983
25-64	0-4	1.009385131544538	417	90999	878	193398	2020-04-26	1.0484499255932869	44892	2.007026997576808	8	0.6607054524877828	0.9627404293756391
25-64	12-17	1.0158944470585258	978	90999	2046	193398	2020-04-26	1.0484499255932869	44892	2.7719922238179735	60	0.5318203534190815	0.9689489428726519
25-64	18-24	1.0732168283526775	4058	90999	8036	193398	2020-04-26	1.0484499255932869	44892	1.1799628928408523	394	0.9632118604548374	1.0236223992723121
25-64	25-64	1.0484499255932869	44892	90999	90999	193398	2020-04-26	1.0484499255932869	44892	1.0484499255932869	44892	1	1
25-64	5-11	0.9814542472746841	1354	90999	2932	193398	2020-04-26	1.0484499255932869	44892	2.114715381293866	94	0.6205519800927038	0.936100259360797
25-64	65-80	0.9811204056077093	19564	90999	42379	193398	2020-04-26	1.0484499255932869	44892	1.0690852508388764	9928	0.9266626751020967	0.9357818448530312
25-64	80+	0.9093056095816416	19736	90999	46128	193398	2020-04-26	1.0484499255932869	44892	1.2155814037352997	13374	0.8032623911183262	0.867285682782697
5-11	0-4	2.25379715463956	30	2932	878	193398	2020-04-26	2.114715381293866	94	2.007026997576808	8	1.0936137911933654	2.149646921253013
5-11	12-17	1.9343438233054482	60	2932	2046	193398	2020-04-26	2.114715381293866	94	2.7719922238179735	60	0.7916756964472311	1.8449558496662204
5-11	18-24	1.1245238429115365	137	2932	8036	193398	2020-04-26	2.114715381293866	94	1.1799628928408523	394	0.6826304417883535	1.0725584650837776
5-11	25-64	0.9814542472746841	1354	2932	90999	193398	2020-04-26	2.114715381293866	94	1.0484499255932869	44892	0.6205519800927038	0.936100259360797
5-11	5-11	2.114715381293866	94	2932	2932	193398	2020-04-26	2.114715381293866	94	2.114715381293866	94	1	2.0169922565421627
5-11	65-80	0.9027454442399799	580	2932	42379	193398	2020-04-26	2.114715381293866	94	1.0690852508388764	9928	0.5670866668779163	0.861028669279692
5-11	80+	0.9680818091919561	677	2932	46128	193398	2020-04-26	2.114715381293866	94	1.2155814037352997	13374	0.5813787008676332	0.9233457750918788
65-80	0-4	0.8576117367194318	165	42379	878	193398	2020-04-26	1.0690852508388764	9928	2.007026997576808	8	0.557594565777718	0.817980635779181
65-80	12-17	0.807428772485644	362	42379	2046	193398	2020-04-26	1.0690852508388764	9928	2.7719922238179735	60	0.4204178529659974	0.7701166767966948
65-80	18-24	0.9421232753184069	1659	42379	8036	193398	2020-04-26	1.0690852508388764	9928	1.1799628928408523	394	0.8377973392574634	0.8985868111777366
65-80	25-64	0.9811204056077093	19564	42379	90999	193398	2020-04-26	1.0690852508388764	9928	1.0484499255932869	44892	0.9266626751020967	0.9357818448530312
65-80	5-11	0.9027454442399799	580	42379	2932	193398	2020-04-26	1.0690852508388764	9928	2.114715381293866	94	0.5670866668779163	0.861028669279692
65-80	65-80	1.0690852508388764	9928	42379	42379	193398	2020-04-26	1.0690852508388764	9928	1.0690852508388764	9928	1	1.0196817461109673
65-80	80+	1.0012904499146689	10121	42379	46128	193398	2020-04-26	1.0690852508388764	9928	1.2155814037352997	13374	0.8765308916379251	0.9550198111255225
80+	0-4	0.8404376857266341	176	46128	878	193398	2020-04-26	1.2155814037352997	13374	2.007026997576808	8	0.5215884656568537	0.8016002149564322
80+	12-17	0.8893474390950559	434	46128	2046	193398	2020-04-26	1.2155814037352997	13374	2.7719922238179735	60	0.44605944474597636	0.8482497994282373
80+	18-24	0.8399884275745272	1610	46128	8036	193398	2020-04-26	1.2155814037352997	13374	1.1799628928408523	394	0.701292335754414	0.8011717174753983
80+	25-64	0.9093056095816416	19736	46128	90999	193398	2020-04-26	1.2155814037352997	13374	1.0484499255932869	44892	0.8032623911183262	0.867285682782697
80+	5-11	0.9680818091919561	677	46128	2932	193398	2020-04-26	1.2155814037352997	13374	2.114715381293866	94	0.5813787008676332	0.9233457750918788
80+	65-80	1.0012904499146689	10121	46128	42379	193398	2020-04-26	1.2155814037352997	13374	1.0690852508388764	9928	0.8765308916379251	0.9550198111255225
80+	80+	1.2155814037352997	13374	46128	46128	193398	2020-04-26	1.2155814037352997	13374	1.2155814037352997	13374	1	1.1594081644361203
0-4	0-4	1.6640643818799719	12	587	587	47782	2020-05-24	1.6640643818799719	12	1.6640643818799719	12	1	1.5518473336996932
0-4	12-17	3.8839162639156544	24	587	503	47782	2020-05-24	1.6640643818799719	12	4.532522558486062	24	1.2535662942497925	3.6220023480468466
0-4	18-24	0.8623476555984261	33	587	3115	47782	2020-05-24	1.6640643818799719	12	3.919776466071847	796	0.30887257680875324	0.8041947923617807
0-4	25-64	0.9681712988206099	288	587	24214	47782	2020-05-24	1.6640643818799719	12	1.0723119122244755	13158	0.70763023412134185	0.9028821630939179
0-4	5-11	2.0258022616725895	22	587	884	47782	2020-05-24	1.6640643818799719	12	3.1795328207858153	52	0.8364866758770286	1.889191231187696
0-4	65-80	0.8813650528888259	98	587	9051	47782	2020-05-24	1.6640643818799719	12	1.1572118349082912	1984	0.6247988393650946	0.8219297415622879
0-4	80+	0.9497283816591847	110	587	9428	47782	2020-05-24	1.6640643818799719	12	1.4557065617018534	2708	0.6088449433206123	0.8856829536557181
12-17	0-4	3.8839162639156544	24	503	587	47782	2020-05-24	4.532522558486062	24	1.6640643818799719	12	1.2535662942497925	3.6220023480468466
12-17	12-17	4.532522558486062	24	503	503	47782	2020-05-24	4.532522558486062	24	4.532522558486062	24	1	4.226869539370774
12-17	18-24	1.0673493549138555	35	503	3115	47782	2020-05-24	4.532522558486062	24	3.919776466071847	796	0.2525583517129962	0.9953720953259529
12-17	25-64	1.165161915268117	297	503	24214	47782	2020-05-24	4.532522558486062	24	1.0723119122244755	13158	0.41577032162393435	1.086588614735266
12-17	5-11	1.6118919964376637	15	503	884	47782	2020-05-24	4.532522558486062	24	3.1795328207858153	52	0.4180187815481813	1.5031932202392932
12-17	65-80	0.8501291444790543	81	503	9051	47782	2020-05-24	4.532522558486062	24	1.1572118349082912	1984	0.29882911422580083	0.7928002429027292
12-17	80+	0.27204507363962177	27	503	9428	47782	2020-05-24	4.532522558486062	24	1.4557065617018534	2708	0.09085994145497385	0.2536995724269008
18-24	0-4	0.8623476555984261	33	3115	587	47782	2020-05-24	3.919776466071847	796	1.6640643818799719	12	0.30887257680875324	0.8041947923617807
18-24	12-17	1.0673493549138555	35	3115	503	47782	2020-05-24	3.919776466071847	796	4.532522558486062	24	0.2525583517129962	0.9953720953259529
18-24	18-24	3.919776466071847	796	3115	3115	47782	2020-05-24	3.919776466071847	796	3.919776466071847	796	1	3.655444298795861
18-24	25-64	0.9090581029692306	1435	3115	24214	47782	2020-05-24	3.919776466071847	796	1.0723119122244755	13158	0.36419952295775254	0.8477552963889208
18-24	5-11	0.7808483981319407	45	3115	884	47782	2020-05-24	3.919776466071847	796	3.1795328207858153	52	0.21997869555492047	0.7281914797645925
18-24	65-80	0.7694237381075635	454	3115	9051	47782	2020-05-24	3.919776466071847	796	1.1572118349082912	1984	0.3031024270664647	0.717537247638534
18-24	80+	0.515758020063865	317	3115	9428	47782	2020-05-24	3.919776466071847	796	1.4557065617018534	2708	0.19189271639370062	0.4809776093916014
25-64	0-4	0.9681712988206099	288	24214	587	47782	2020-05-24	1.0723119122244755	13158	1.6640643818799719	12	0.70763023412134185	0.9028821630939179
25-64	12-17	1.165161915268117	297	24214	503	47782	2020-05-24	1.0723119122244755	13158	4.532522558486062	24	0.41577032162393435	1.086588614735266
25-64	18-24	0.9090581029692306	1435	24214	3115	47782	2020-05-24	1.0723119122244755	13158	3.919776466071847	796	0.36419952295775254	0.8477552963889208
25-64	25-64	1.0723119122244755	13158	24214	24214	47782	2020-05-24	1.0723119122244755	13158	1.0723119122244755	13158	1	1
25-64	5-11	1.1942611917790351	535	24214	884	47782	2020-05-24	1.0723119122244755	13158	3.1795328207858153	52	0.561761431459188	1.1137255663807557
25-64	65-80	0.9366244612394709	4296	24214	9051	47782	2020-05-24	1.0723119122244755	13158	1.1572118349082912	1984	0.8402013770375826	0.8734627029335844
25-64	80+	0.8801247101970378	4205	24214	9428	47782	2020-05-24	1.0723119122244755	13158	1.4557065617018534	2708	0.6962961064363538	0.8207730420258488
5-11	0-4	2.0258022616725895	22	884	587	47782	2020-05-24	3.1795328207858153	52	1.6640643818799719	12	0.8364866758770286	1.889191231187696
5-11	12-17	1.6118919964376637	15	884	503	47782	2020-05-24	3.1795328207858153	52	4.532522558486062	24	0.4180187815481813	1.5031932202392932
5-11	18-24	0.7808483981319407	45	884	3115	47782	2020-05-24	3.1795328207858153	52	3.919776466071847	796	0.21997869555492047	0.7281914797645925
5-11	25-64	1.1942611917790351	535	884	24214	47782	2020-05-24	3.1795328207858153	52	1.0723119122244755	13158	0.561761431459188	1.1137255663807557
5-11	5-11	3.1795328207858153	52	884	884	47782	2020-05-24	3.1795328207858153	52	3.1795328207858153	52	1	2.9651193692234377
5-11	65-80	0.8719034820781784	146	884	9051	47782	2020-05-24	3.1795328207858153	52	1.1572118349082912	1984	0.4021004469024373	0.8131062167065211
5-11	80+	0.39558672347892193	69	884	9428	47782	2020-05-24	3.1795328207858153	52	1.4557065617018534	2708	0.1706866424087966	0.3689101267729931
65-80	0-4	0.8813650528888259	98	9051	587	47782	2020-05-24	1.1572118349082912	1984	1.6640643818799719	12	0.6247988393650946	0.8219297415622879
65-80	12-17	0.8501291444790543	81	9051	503	47782	2020-05-24	1.1572118349082912	1984	4.532522558486062	24	0.29882911422580083	0.7928002429027292
65-80	18-24	0.7694237381075635	454	9051	3115	47782	2020-05-24	1.1572118349082912	1984	3.919776466071847	796	0.3031024270664647	0.717537247638534
65-80	25-64	0.9366244612394709	4296	9051	24214	47782	2020-05-24	1.1572118349082912	1984	1.0723119122244755	13158	0.8402013770375826	0.8734627029335844
65-80	5-11	0.8719034820781784	146	9051	884	47782	2020-05-24	1.1572118349082912	1984	3.1795328207858153	52	0.4021004469024373	0.8131062167065211
65-80	65-80	1.1572118349082912	1984	9051	9051	47782	2020-05-24	1.1572118349082912	1984	1.1572118349082912	1984	1	1.0791746521846368
65-80	80+	1.1154176795828212	1992	9051	9428	47782	2020-05-24	1.1572118349082912	1984	1.4557065617018534	2708	0.8537715383916332	1.0401989074885163
80+	0-4	0.9497283816591847	110	9428	587	47782	2020-05-24	1.4557065617018534	2708	1.6640643818799719	12	0.6088449433206123	0.8856829536557181
80+	12-17	0.27204507363962177	27	9428	503	47782	2020-05-24	1.4557065617018534	2708	4.532522558486062	24	0.09085994145497385	0.2536995724269008
80+	18-24	0.515758020063865	317	9428	3115	47782	2020-05-24	1.4557065617018534	2708	3.919776466071847	796	0.19189271639370062	0.4809776093916014
80+	25-64	0.8801247101970378	4205	9428	24214	47782	2020-05-24	1.4557065617018534	2708	1.0723119122244755	13158	0.6962961064363538	0.8207730420258488
