x	y	RR	N_pairs	N_x	N_y	N_total	date	country	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed
18-25y	6-11y	1.58918374202217	2	229	39	7096	2020-03-01	Canada	6.765717663660113	50	NA	0	NA	1.237925204861746
18-25y	65-80y	0.0974465134162753	4	229	1272	7096	2020-03-01	Canada	6.765717663660113	50	1.3990404107828014	319	0.023870030814825857	0.07590783362181075
18-25y	81y+	0.08219915907011224	2	229	754	7096	2020-03-01	Canada	6.765717663660113	50	2.022024006360419	162	0.0187076867201355	0.06403061404457307
26-45y	0-5y	1.3531329850120133	10	2017	26	7096	2020-03-01	Canada	1.283747786846018	736	NA	0	NA	1.0540489330357208
26-45y	12-17y	1.2117941937971686	31	2017	90	7096	2020-03-01	Canada	1.283747786846018	736	2.6282716049382717	3	0.6195236129667874	0.9439503664301311
26-45y	18-25y	1.1214913410681695	73	2017	229	7096	2020-03-01	Canada	1.283747786846018	736	6.765717663660113	50	0.2786498924590459	0.8736072245339647
26-45y	26-45y	1.283747786846018	736	2017	2017	7096	2020-03-01	Canada	1.283747786846018	736	1.283747786846018	736	1	1
26-45y	46-65y	0.8660133711708254	657	2017	2669	7096	2020-03-01	Canada	1.283747786846018	736	1.0648641880093397	1069	0.7374682411931073	0.6745977520230002
26-45y	6-11y	1.262919034361771	14	2017	39	7096	2020-03-01	Canada	1.283747786846018	736	NA	0	NA	0.9837750431216554
26-45y	65-80y	0.7771898766148119	281	2017	1272	7096	2020-03-01	Canada	1.283747786846018	736	1.3990404107828014	319	0.5793896643065082	0.6054069845948904
26-45y	81y+	0.9238508486880087	198	2017	754	7096	2020-03-01	Canada	1.283747786846018	736	2.022024006360419	162	0.5589320173803761	0.7196513662218466
46-65y	0-5y	1.3293512407412744	13	2669	26	7096	2020-03-01	Canada	1.0648641880093397	1069	NA	0	NA	1.035523686476841
46-65y	12-17y	0.856687898089172	29	2669	90	7096	2020-03-01	Canada	1.0648641880093397	1069	2.6282716049382717	3	0.46393522801143555	0.6673334956190498
46-65y	18-25y	1.079725000449934	93	2669	229	7096	2020-03-01	Canada	1.0648641880093397	1069	6.765717663660113	50	0.2757713337022945	0.841072531157122
46-65y	26-45y	0.8660133711708254	657	2669	2017	7096	2020-03-01	Canada	1.0648641880093397	1069	1.283747786846018	736	0.7374682411931073	0.6745977520230002
46-65y	46-65y	1.0648641880093397	1069	2669	2669	7096	2020-03-01	Canada	1.0648641880093397	1069	1.0648641880093397	1069	1	0.8294964158228902
46-65y	6-11y	1.0907475189978	16	2669	39	7096	2020-03-01	Canada	1.0648641880093397	1069	NA	0	NA	0.84965873372807
46-65y	65-80y	0.9761013947701421	467	2669	1272	7096	2020-03-01	Canada	1.0648641880093397	1069	1.3990404107828014	319	0.7923207702511275	0.7603529328516169
46-65y	81y+	1.1389283382345488	323	2669	754	7096	2020-03-01	Canada	1.0648641880093397	1069	2.022024006360419	162	0.7379135663623091	0.8871901084501421
6-11y	0-5y	9.861932938856016e-4	0	39	26	7096	2020-03-01	Canada	NA	0	NA	0	NA	7.682142115380276e-4
6-11y	12-17y	2.021937321937322	1	39	90	7096	2020-03-01	Canada	NA	0	2.6282716049382717	3	NA	1.5750269193491102
6-11y	18-25y	1.58918374202217	2	39	229	7096	2020-03-01	Canada	NA	0	6.765717663660113	50	NA	1.237925204861746
6-11y	26-45y	1.262919034361771	14	39	2017	7096	2020-03-01	Canada	NA	0	1.283747786846018	736	NA	0.9837750431216554
6-11y	46-65y	1.0907475189978	16	39	2669	7096	2020-03-01	Canada	NA	0	1.0648641880093397	1069	NA	0.84965873372807
6-11y	6-11y	6.574621959237344e-4	0	39	39	7096	2020-03-01	Canada	NA	0	NA	0	NA	5.121428076920183e-4
6-11y	65-80y	0.4291444928237381	3	39	1272	7096	2020-03-01	Canada	NA	0	1.3990404107828014	319	NA	0.3342903467651413
6-11y	81y+	0.48265660069373595	2	39	754	7096	2020-03-01	Canada	NA	0	2.022024006360419	162	NA	0.37597463118480084
65-80y	0-5y	3.023705853894533e-5	0	1272	26	7096	2020-03-01	Canada	1.3990404107828014	319	NA	0	NA	2.355373761791122e-5
65-80y	12-17y	0.9297781271837876	15	1272	90	7096	2020-03-01	Canada	1.3990404107828014	319	2.6282716049382717	3	0.46173632614224697	0.7242685336721144
65-80y	18-25y	0.0974465134162753	4	1272	229	7096	2020-03-01	Canada	1.3990404107828014	319	6.765717663660113	50	0.023870030814825857	0.07590783362181075
65-80y	26-45y	0.7771898766148119	281	1272	2017	7096	2020-03-01	Canada	1.3990404107828014	319	1.283747786846018	736	0.5793896643065082	0.6054069845948904
65-80y	46-65y	0.9761013947701421	467	1272	2669	7096	2020-03-01	Canada	1.3990404107828014	319	1.0648641880093397	1069	0.7923207702511275	0.7603529328516169
65-80y	6-11y	0.4291444928237381	3	1272	39	7096	2020-03-01	Canada	1.3990404107828014	319	NA	0	NA	0.3342903467651413
65-80y	65-80y	1.3990404107828014	319	1272	1272	7096	2020-03-01	Canada	1.3990404107828014	319	1.3990404107828014	319	1	1.0898094042444588
65-80y	81y+	1.768289249787298	239	1272	754	7096	2020-03-01	Canada	1.3990404107828014	319	2.022024006360419	162	1.0337655385419011	1.3774428808416705
81y+	0-5y	5.100999795960008e-5	0	754	26	7096	2020-03-01	Canada	2.022024006360419	162	NA	0	NA	3.9735217838173835e-5
81y+	12-17y	0.6274241084585912	6	754	90	7096	2020-03-01	Canada	2.022024006360419	162	2.6282716049382717	3	0.2698426770694563	0.488744062414379
81y+	18-25y	0.08219915907011224	2	754	229	7096	2020-03-01	Canada	2.022024006360419	162	6.765717663660113	50	0.0187076867201355	0.06403061404457307
81y+	26-45y	0.9238508486880087	198	754	2017	7096	2020-03-01	Canada	2.022024006360419	162	1.283747786846018	736	0.5589320173803761	0.7196513662218466
81y+	46-65y	1.1389283382345488	323	754	2669	7096	2020-03-01	Canada	2.022024006360419	162	1.0648641880093397	1069	0.7379135663623091	0.8871901084501421
81y+	6-11y	0.48265660069373595	2	754	39	7096	2020-03-01	Canada	2.022024006360419	162	NA	0	NA	0.37597463118480084
81y+	65-80y	1.768289249787298	239	754	1272	7096	2020-03-01	Canada	2.022024006360419	162	1.3990404107828014	319	1.0337655385419011	1.3774428808416705
81y+	81y+	2.022024006360419	162	754	754	7096	2020-03-01	Canada	2.022024006360419	162	2.022024006360419	162	1	1.5750944438457326
0-5y	0-5y	5.406574394463668e-5	0	136	136	42674	2020-03-29	USA	NA	0	NA	0	NA	4.9683436022768176e-5
0-5y	12-17y	4.062398440038999e-5	0	136	181	42674	2020-03-29	USA	NA	0	3.9077866975977535	3	NA	3.733120054749432e-5
0-5y	18-25y	1.0916204324791379	9	136	2587	42674	2020-03-29	USA	NA	0	1.9830374554225738	311	NA	1.003138955671467
0-5y	26-45y	0.7948646308628273	29	136	11448	42674	2020-03-29	USA	NA	0	1.0882046064579802	3342	NA	0.7304367452092018
0-5y	46-65y	1.1435872374262805	55	136	15091	42674	2020-03-29	USA	NA	0	0.9871271180798981	5268	NA	1.0508935825483834
0-5y	6-11y	2.9411764705882354e-5	0	136	250	42674	2020-03-29	USA	NA	0	2.048368	3	NA	2.7027789196385885e-5
0-5y	65-80y	1.0457208585312534	33	136	9902	42674	2020-03-29	USA	NA	0	1.1642367367439852	2675	NA	0.9609597793699771
0-5y	81y+	1.0190975870699044	10	136	3079	42674	2020-03-29	USA	NA	0	1.2603815662492124	280	NA	0.9364944616316101
12-17y	0-5y	4.062398440038999e-5	0	181	136	42674	2020-03-29	USA	3.9077866975977535	3	NA	0	NA	3.733120054749432e-5
12-17y	12-17y	3.9077866975977535	3	181	181	42674	2020-03-29	USA	3.9077866975977535	3	3.9077866975977535	3	1	3.5910403929618435
12-17y	18-25y	2.6429363135268353	29	181	2587	42674	2020-03-29	USA	3.9077866975977535	3	1.9830374554225738	311	0.8973061306444723	2.4287126684102023
12-17y	26-45y	1.1533028520024247	56	181	11448	42674	2020-03-29	USA	3.9077866975977535	3	1.0882046064579802	3342	0.46169129680677234	1.0598216963594136
12-17y	46-65y	0.7967776337365471	51	181	15091	42674	2020-03-29	USA	3.9077866975977535	3	0.9871271180798981	5268	0.3255532839759473	0.732194689314903
12-17y	6-11y	4.7153812154696135	5	181	250	42674	2020-03-29	USA	3.9077866975977535	3	2.048368	3	1.5833642525676606	4.333175202058559
12-17y	65-80y	0.7619248748229891	32	181	9902	42674	2020-03-29	USA	3.9077866975977535	3	1.1642367367439852	2675	0.30044217448371224	0.7001669266067474
12-17y	81y+	0.3828662890118231	5	181	3079	42674	2020-03-29	USA	3.9077866975977535	3	1.2603815662492124	280	0.14816324448648413	0.3518329978936797
18-25y	0-5y	1.0916204324791379	9	2587	136	42674	2020-03-29	USA	1.9830374554225738	311	NA	0	NA	1.003138955671467
18-25y	12-17y	2.6429363135268353	29	2587	181	42674	2020-03-29	USA	1.9830374554225738	311	3.9077866975977535	3	0.8973061306444723	2.4287126684102023
18-25y	18-25y	1.9830374554225738	311	2587	2587	42674	2020-03-29	USA	1.9830374554225738	311	1.9830374554225738	311	1	1.8223020226657591
18-25y	26-45y	1.129674639120453	784	2587	11448	42674	2020-03-29	USA	1.9830374554225738	311	1.0882046064579802	3342	0.735646762032649	1.0381086722261308
18-25y	46-65y	0.9039708515408532	827	2587	15091	42674	2020-03-29	USA	1.9830374554225738	311	0.9871271180798981	5268	0.6087008508588293	0.8306993429142031
18-25y	6-11y	1.715539234634712	26	2587	250	42674	2020-03-29	USA	1.9830374554225738	311	2.048368	3	0.8510874203075605	1.5764859149224302
18-25y	65-80y	0.7879618014563596	473	2587	9902	42674	2020-03-29	USA	1.9830374554225738	311	1.1642367367439852	2675	0.5007265038537573	0.7240934257952766
18-25y	81y+	0.7982585372963702	149	2587	3079	42674	2020-03-29	USA	1.9830374554225738	311	1.2603815662492124	280	0.4922327531303163	0.7335555579888956
26-45y	0-5y	0.7948646308628273	29	11448	136	42674	2020-03-29	USA	1.0882046064579802	3342	NA	0	NA	0.7304367452092018
26-45y	12-17y	1.1533028520024247	56	11448	181	42674	2020-03-29	USA	1.0882046064579802	3342	3.9077866975977535	3	0.46169129680677234	1.0598216963594136
26-45y	18-25y	1.129674639120453	784	11448	2587	42674	2020-03-29	USA	1.0882046064579802	3342	1.9830374554225738	311	0.735646762032649	1.0381086722261308
26-45y	26-45y	1.0882046064579802	3342	11448	11448	42674	2020-03-29	USA	1.0882046064579802	3342	1.0882046064579802	3342	1	1
26-45y	46-65y	0.9645766706902421	3905	11448	15091	42674	2020-03-29	USA	1.0882046064579802	3342	0.9871271180798981	5268	0.9295638468640746	0.8863927472516981
26-45y	6-11y	1.1928445143256463	80	11448	250	42674	2020-03-29	USA	1.0882046064579802	3342	2.048368	3	0.7606037952825733	1.0961583026268016
26-45y	65-80y	0.9671078720305959	2569	11448	9902	42674	2020-03-29	USA	1.0882046064579802	3342	1.1642367367439852	2675	0.8587196953646752	0.8887187816438816
26-45y	81y+	0.9188948817863805	759	11448	3079	42674	2020-03-29	USA	1.0882046064579802	3342	1.2603815662492124	280	0.7825089770729419	0.8444137033910475
46-65y	0-5y	1.1435872374262805	55	15091	136	42674	2020-03-29	USA	0.9871271180798981	5268	NA	0	NA	1.0508935825483834
46-65y	12-17y	0.7967776337365471	51	15091	181	42674	2020-03-29	USA	0.9871271180798981	5268	3.9077866975977535	3	0.3255532839759473	0.732194689314903
46-65y	18-25y	0.9039708515408532	827	15091	2587	42674	2020-03-29	USA	0.9871271180798981	5268	1.9830374554225738	311	0.6087008508588293	0.8306993429142031
46-65y	26-45y	0.9645766706902421	3905	15091	11448	42674	2020-03-29	USA	0.9871271180798981	5268	1.0882046064579802	3342	0.9295638468640746	0.8863927472516981
46-65y	46-65y	0.9871271180798981	5268	15091	15091	42674	2020-03-29	USA	0.9871271180798981	5268	0.9871271180798981	5268	1	0.9071153643549797
46-65y	6-11y	1.334711549930422	118	15091	250	42674	2020-03-29	USA	0.9871271180798981	5268	2.048368	3	0.8794028637902693	1.2265262819230314
46-65y	65-80y	1.034643535539681	3623	15091	9902	42674	2020-03-29	USA	0.9871271180798981	5268	1.1642367367439852	2675	0.9618489529046959	0.9507803306469762
46-65y	81y+	0.9064686899261294	987	15091	3079	42674	2020-03-29	USA	0.9871271180798981	5268	1.2603815662492124	280	0.8066431033139376	0.8329947185912152
6-11y	0-5y	2.9411764705882354e-5	0	250	136	42674	2020-03-29	USA	2.048368	3	NA	0	NA	2.7027789196385885e-5
6-11y	12-17y	4.7153812154696135	5	250	181	42674	2020-03-29	USA	2.048368	3	3.9077866975977535	3	1.5833642525676606	4.333175202058559
6-11y	18-25y	1.715539234634712	26	250	2587	42674	2020-03-29	USA	2.048368	3	1.9830374554225738	311	0.8510874203075605	1.5764859149224302
6-11y	26-45y	1.1928445143256463	80	250	11448	42674	2020-03-29	USA	2.048368	3	1.0882046064579802	3342	0.7606037952825733	1.0961583026268016
6-11y	46-65y	1.334711549930422	118	250	15091	42674	2020-03-29	USA	2.048368	3	0.9871271180798981	5268	0.8794028637902693	1.2265262819230314
6-11y	6-11y	2.048368	3	250	250	42674	2020-03-29	USA	2.048368	3	2.048368	3	1	1.882337189021167
6-11y	65-80y	0.896404362754999	52	250	9902	42674	2020-03-29	USA	2.048368	3	1.1642367367439852	2675	0.5580545608380794	0.8237461571429331
6-11y	81y+	0.7761442026632024	14	250	3079	42674	2020-03-29	USA	2.048368	3	1.2603815662492124	280	0.4691465383661761	0.7132337044496533
65-80y	0-5y	1.0457208585312534	33	9902	136	42674	2020-03-29	USA	1.1642367367439852	2675	NA	0	NA	0.9609597793699771
65-80y	12-17y	0.7619248748229891	32	9902	181	42674	2020-03-29	USA	1.1642367367439852	2675	3.9077866975977535	3	0.30044217448371224	0.7001669266067474
65-80y	18-25y	0.7879618014563596	473	9902	2587	42674	2020-03-29	USA	1.1642367367439852	2675	1.9830374554225738	311	0.5007265038537573	0.7240934257952766
