x	y	RR	N_pairs	N_x	N_y	N_total	nb_dist	euclid_dist	min_cbsa_dist
Alabama	New Brunswick	0.052732222917581895	24	187631	175332	72282076	7	5949.822264578941	NA
Alabama	New Hampshire	0.47921985162418007	250	187631	200970	72282076	7	4448.037324331233	1492.69
Alabama	New Jersey	0.8149081868586138	2961	187631	1399767	72282076	5	12717.833941497993	1088.09
Alabama	New Mexico	1.485447716313172	2003	187631	519457	72282076	4	12297.579369167002	1430.18
Alabama	New York	0.6470458564085843	7161	187631	4263484	72282076	5	7063.932609597374	1014.03
Alabama	Newfoundland and Labrador	0.2647729970248356	28	187631	40739	72282076	7	12711.666403915042	NA
Alabama	North Carolina	1.918303268132622	7278	187631	1461574	72282076	2	14712.914737191628	284.58
Alabama	North Dakota	0.7401298121350968	640	187631	333118	72282076	5	5104.043000114168	1488.06
Alabama	Nova Scotia	0.06867686696022243	36	187631	201938	72282076	8	8096.413320168801	NA
Alabama	Ohio	1.7799976556038979	2652	187631	573958	72282076	3	9910.441513357391	498.31
Alabama	Oklahoma	1.9671455629874868	1016	187631	198968	72282076	3	3617.1519810184823	611.94
Alabama	Ontario	0.18037239834991473	1894	187631	4045162	72282076	5	14311.784921209688	NA
Alabama	Oregon	0.4972796656988725	858	187631	664680	72282076	6	13811.804007703822	2730.44
Alabama	Pennsylvania	0.9323637019935471	2140	187631	884208	72282076	4	7848.1080676301635	831.96
Alabama	Prince Edward Island	0.06901384037390403	2	187631	11164	72282076	NA	12860.788753689423	NA
Alabama	Quebec	0.17313578742716174	703	187631	1564208	72282076	6	14155.253499747198	NA
Alabama	Rhode Island	0.5830739282267424	690	187631	455881	72282076	7	15392.157639808862	1494.55
Alabama	Saskatchewan	0.03565278866634047	83	187631	896831	72282076	6	5134.380129066047	NA
Alabama	South Carolina	2.628571327523939	2487	187631	364487	72282076	2	6781.881471703873	253.03
Alabama	South Dakota	0.6706044084790767	174	187631	99956	72282076	4	15273.80811815464	1135.14
Alabama	Tennessee	3.933880234840239	5176	187631	506873	72282076	1	15737.648324994838	42
Alabama	Texas	1.3867496493761282	11172	187631	3103551	72282076	3	19418.475297194153	580.04
Alabama	Utah	0.6898218519523229	2269	187631	1267137	72282076	5	12065.055179770769	2007.08
Alabama	Vermont	0.566075798516486	753	187631	512444	72282076	6	6602.058249630336	1441.38
Alabama	Virginia	1.347598469933168	3651	187631	1043704	72282076	2	10912.942531055192	379.54
Alabama	Washington	0.6022686955050142	2957	187631	1891416	72282076	6	3530.675356928255	2755.7
Alabama	West Virginia	1.4264667466126995	1135	187631	306521	72282076	3	16488.481332921645	498.96
Alabama	Wisconsin	0.7732777970805426	2186	187631	1089032	72282076	4	7313.424566596041	866.13
Alabama	Wyoming	0.24987460898696753	525	187631	809400	72282076	4	7611.352410483361	1645.99
Alaska	Alabama	0.48040442239894837	137	109860	187631	72282076	7	9201.33736920697	4008.79
Alaska	Alaska	375.11253405191167	62634	109860	109860	72282076	0	0	0
Alaska	Alberta	0.08955296737661703	236	109860	1733896	72282076	2	12864.674876858877	NA
Alaska	Arizona	0.9529398435569649	2226	109860	1536918	72282076	4	14274.267247162732	2560.6
Alaska	Arkansas	0.5063777192051505	215	109860	279354	72282076	6	11815.932987304152	3519.87
Alaska	British Columbia	0.08698449276012012	763	109860	5771301	72282076	1	11104.94130599784	NA
Alaska	California	0.4754517221903265	8069	109860	11166172	72282076	4	7073.080940155654	1608.93
Alaska	Colorado	0.42939816407519005	2285	109860	3501201	72282076	4	15112.285924776992	2373.6
Alaska	Connecticut	0.3457661285669752	491	109860	934308	72282076	6	15631.845533609632	4367.07
Alaska	Delaware	0.28722735599291277	114	109860	261138	72282076	7	11591.565203247148	4379.77
Alaska	District of Columbia	0.6372120189135757	235	109860	242647	72282076	8	14522.999211704837	4322.61
Alaska	Florida	0.5407996930473559	2013	109860	2449054	72282076	8	5481.171369869826	4400.57
Alaska	Georgia	0.6329654963309569	665	109860	691246	72282076	7	891.3733774361764	4131.56
Alaska	Hawaii	1.6710958363090855	1169	109860	460261	72282076	NA	5337.269392937173	4392.56
Alaska	Idaho	1.6722618036207892	809	109860	318299	72282076	2	3008.4154581437406	1266.68
Alaska	Illinois	0.39940803649115125	726	109860	1195944	72282076	5	10369.325642053172	3297.22
Alaska	Indiana	0.31621940203602666	201	109860	418214	72282076	6	13220.5697077475	3454.08
Alaska	Iowa	0.5232865996782201	235	109860	295474	72282076	4	7244.056898833214	2864.53
Alaska	Kansas	0.39425223892641964	145	109860	241983	72282076	5	9048.461039851009	2974.6
Alaska	Kentucky	0.3511272267541616	113	109860	211741	72282076	6	14291.296712791584	3759.8
Alaska	Louisiana	0.7808684285694021	584	109860	492069	72282076	6	10197.3852037076	3854.75
Alaska	Maine	0.2535279054191434	102	109860	264707	72282076	5	4704.909245830258	4391.25
Alaska	Manitoba	0.08948466289299545	24	109860	176463	72282076	3	5893.799595929865	NA
Alaska	Maryland	0.5213631945463589	791	109860	998222	72282076	7	14551.17439731688	4186.69
Alaska	Massachusetts	0.30517281107648553	1579	109860	3404296	72282076	6	1704.4631232963595	4330.06
Alaska	Mexico	0.5209595298618741	274	109860	346049	72282076	5	10435.887670370888	NA
Alaska	Michigan	0.5345124014547525	1180	109860	1452497	72282076	6	15463.407880771903	3044.3
Alaska	Minnesota	0.49878908012249884	1866	109860	2461420	72282076	4	11585.21385309699	2481.23
Alaska	Mississippi	1.1276589982904086	229	109860	133613	72282076	7	4894.210995466142	3864.82
Alaska	Missouri	0.5975193514628064	305	109860	335845	72282076	5	3815.95684082587	3126.31
Alaska	Montana	1.364259911520065	613	109860	295634	72282076	2	13195.168153910938	1409.64
Alaska	Nebraska	0.541881521325622	242	109860	293834	72282076	4	4136.932173509398	2502.52
Alaska	Nevada	1.1066889409679677	1236	109860	734825	72282076	3	6199.177573836862	1825.02
Alaska	New Brunswick	0.015010315775784537	4	109860	175332	72282076	5	9194.83299766553	NA
Alaska	New Hampshire	0.16041902421354012	49	109860	200970	72282076	5	4917.651869403327	4296.28
Alaska	New Jersey	0.30881660313737497	657	109860	1399767	72282076	6	14244.58306525439	4307.88
Alaska	New Mexico	0.3812482995041531	301	109860	519457	72282076	4	6273.764365662353	2718.96
Alaska	New York	0.27577248823598216	1787	109860	4263484	72282076	5	13495.65382471802	3932.51
Alaska	Newfoundland and Labrador	0.06460120978914197	4	109860	40739	72282076	4	7168.828081446662	NA
Alaska	North Carolina	0.4965302663794304	1103	109860	1461574	72282076	7	5798.499653908868	4236.5
Alaska	North Dakota	0.3732971949087193	189	109860	333118	72282076	3	12336.336393180069	2034.51
Alaska	Nova Scotia	0.10100309130503934	31	109860	201938	72282076	6	8940.80781722273	NA
Alaska	Ohio	0.38975332256258843	340	109860	573958	72282076	7	1604.1852451467664	3696.3
Alaska	Oklahoma	0.7109617695852378	215	109860	198968	72282076	5	5587.142819882262	3047.03
Alaska	Ontario	0.04814451487231096	296	109860	4045162	72282076	4	15595.19994797657	NA
Alaska	Oregon	1.019566685032155	1030	109860	664680	72282076	3	12247.800049179124	1168.83
Alaska	Pennsylvania	0.33484906957984495	450	109860	884208	72282076	6	5246.725132560756	3915.05
Alaska	Prince Edward Island	8.153434327641389e-10	0	109860	11164	72282076	NA	11669.752584094816	NA
Alaska	Quebec	0.048792661607360364	116	109860	1564208	72282076	4	5498.620432352709	NA
Alaska	Rhode Island	0.3276162143198065	227	109860	455881	72282076	7	14305.344631240278	4499.29
Alaska	Saskatchewan	0.06969538416481455	95	109860	896831	72282076	3	12832.043144068684	NA
Alaska	South Carolina	0.47655486384405554	264	109860	364487	72282076	8	7061.449706803453	4297.61
Alaska	South Dakota	1.0795083411250377	164	109860	99956	72282076	3	14426.302828606202	2289.61
Alaska	Tennessee	0.5880172501246438	453	109860	506873	72282076	6	7406.761349585022	3793.21
Alaska	Texas	0.47932788905329266	2261	109860	3103551	72282076	5	11373.0751465924	3106.17
Alaska	Utah	0.6090675510161517	1173	109860	1267137	72282076	3	3952.5226983852895	2019.82
Alaska	Vermont	0.20543034374292002	160	109860	512444	72282076	5	15541.080416454965	4178.81
Alaska	Virginia	0.48729636155674155	773	109860	1043704	72282076	7	8052.196758411541	4186.06
Alaska	Washington	1.3816982386587515	3972	109860	1891416	72282076	2	10361.700904858057	954.08
Alaska	West Virginia	0.22967544509318083	107	109860	306521	72282076	7	10469.690803472982	4003.16
Alaska	Wisconsin	0.3667237800795357	607	109860	1089032	72282076	5	11411.430965274028	2792.83
Alaska	Wyoming	0.42757624285706125	526	109860	809400	72282076	3	15547.056107098995	1939.88
Alberta	Alabama	0.13330739132377378	600	1733896	187631	72282076	6	8604.369843416433	NA
Alberta	Alaska	0.08955296737661703	236	1733896	109860	72282076	2	12864.674876858877	NA
Alberta	Alberta	25.668495562982244	1067618	1733896	1733896	72282076	0	0	NA
Alberta	Arizona	0.13665169999545773	5038	1733896	1536918	72282076	4	5698.007440893411	NA
Alberta	Arkansas	0.08401582052801292	563	1733896	279354	72282076	5	1349.9042324424586	NA
Alberta	British Columbia	1.8134452670540826	251056	1733896	5771301	72282076	1	2615.7716627611276	NA
Alberta	California	0.19209780460064552	51454	1733896	11166172	72282076	4	10537.56542692488	NA
Alberta	Colorado	0.15839450823287135	13303	1733896	3501201	72282076	3	4361.546787052215	NA
Alberta	Connecticut	0.10083839957624088	2260	1733896	934308	72282076	5	5223.7681155944465	NA
Alberta	Delaware	0.27138536291071064	1700	1733896	261138	72282076	6	1454.4479707865994	NA
Alberta	District of Columbia	0.17334998669884202	1009	1733896	242647	72282076	7	10280.664414024095	NA
Alberta	Florida	0.13060939258480195	7673	1733896	2449054	72282076	7	15137.334965809108	NA
Alberta	Georgia	0.15312201738859146	2539	1733896	691246	72282076	6	12346.568095038076	NA
Alberta	Hawaii	0.3696323647319511	4081	1733896	460261	72282076	NA	7543.000611568159	NA
Alberta	Idaho	0.11197947142891138	855	1733896	318299	72282076	2	15872.092963085974	NA
Alberta	Illinois	0.1576257936763342	4522	1733896	1195944	72282076	4	8416.747753039235	NA
Alberta	Indiana	0.10625911887430568	1066	1733896	418214	72282076	5	10227.386069362245	NA
Alberta	Iowa	0.216569194365769	1535	1733896	295474	72282076	3	9117.480866897931	NA
Alberta	Kansas	0.12834501018881675	745	1733896	241983	72282076	4	8536.581220157594	NA
Alberta	Kentucky	0.16124509579107213	819	1733896	211741	72282076	5	6663.704839851031	NA
Alberta	Louisiana	0.08615937103209613	1017	1733896	492069	72282076	6	3961.4234293222985	NA
Alberta	Maine	0.054490180357246926	346	1733896	264707	72282076	4	17204.06744456088	NA
Alberta	Manitoba	2.073717013945472	8778	1733896	176463	72282076	2	10220.313956760394	NA
Alberta	Maryland	0.1338051850319389	3204	1733896	998222	72282076	6	4169.6346167903685	NA
Alberta	Massachusetts	0.08607435984889476	7029	1733896	3404296	72282076	5	11292.321380985188	NA
Alberta	Mexico	0.23382745860086196	1941	1733896	346049	72282076	5	4323.826563148712	NA
Alberta	Michigan	0.09379385292223036	3268	1733896	1452497	72282076	5	3490.7247388255064	NA
Alberta	Minnesota	0.08193844382781246	4838	1733896	2461420	72282076	3	12881.70443954288	NA
Alberta	Mississippi	0.0730087167081459	234	1733896	133613	72282076	6	17628.968603677702	NA
Alberta	Missouri	0.13703697366291648	1104	1733896	335845	72282076	4	16679.799625042717	NA
Alberta	Montana	0.09828471241213428	697	1733896	295634	72282076	1	13717.830469369434	NA
Alberta	Nebraska	0.20316483666575133	1432	1733896	293834	72282076	3	16128.10067811436	NA
Alberta	Nevada	0.22476988352457866	3962	1733896	734825	72282076	3	15367.499685329196	NA
Alberta	New Brunswick	0.6559913101057168	2759	1733896	175332	72282076	4	13968.86716183147	NA
Alberta	New Hampshire	0.07509048522457552	362	1733896	200970	72282076	4	11636.153466384443	NA
Alberta	New Jersey	0.21079600714451718	7078	1733896	1399767	72282076	5	4263.539410524996	NA
Alberta	New Mexico	0.16540017373824692	2061	1733896	519457	72282076	4	8336.240927817667	NA
Alberta	New York	0.19809904239305376	20260	1733896	4263484	72282076	4	1989.5303857553388	NA
Alberta	Newfoundland and Labrador	3.6551790721266415	3572	1733896	40739	72282076	3	18641.369590421273	NA
Alberta	North Carolina	0.15601777866537225	5470	1733896	1461574	72282076	6	14651.282753756444	NA
Alberta	North Dakota	0.2245080464935866	1794	1733896	333118	72282076	2	3633.979511624652	NA
Alberta	Nova Scotia	0.6362417388223296	3082	1733896	201938	72282076	5	15997.22237730472	NA
Alberta	Ohio	0.2560274792812898	3525	1733896	573958	72282076	6	14450.672609157538	NA
Alberta	Oklahoma	0.0800364285728329	382	1733896	198968	72282076	4	10320.821720380516	NA
Alberta	Ontario	0.6770650763216068	65699	1733896	4045162	72282076	3	6755.03379995298	NA
Alberta	Oregon	0.24215573730551743	3861	1733896	664680	72282076	3	14630.646907763206	NA
Alberta	Pennsylvania	0.16944595485964092	3594	1733896	884208	72282076	5	7621.002192100115	NA
Alberta	Prince Edward Island	2.3711633307676308	635	1733896	11164	72282076	NA	4564.253337657351	NA
Alberta	Quebec	0.4258825491578234	15980	1733896	1564208	72282076	3	15291.69691061901	NA
Alberta	Rhode Island	0.2711320002847875	2965	1733896	455881	72282076	6	7238.821942316135	NA
Alberta	Saskatchewan	4.163183879044211	89563	1733896	896831	72282076	1	3861.464320440107	NA
Alberta	South Carolina	0.08040459237409797	703	1733896	364487	72282076	7	5924.547497245818	NA
Alberta	South Dakota	0.35742055611289675	857	1733896	99956	72282076	2	7160.872831125624	NA
Alberta	Tennessee	0.14524430538867827	1766	1733896	506873	72282076	5	15125.395930230085	NA
Alberta	Texas	0.1586079787615463	11808	1733896	3103551	72282076	5	11004.88137183478	NA
Alberta	Utah	0.3054352323708333	9284	1733896	1267137	72282076	3	16026.802508091216	NA
Alberta	Vermont	0.07809664787958794	960	1733896	512444	72282076	4	5249.2086211217265	NA
Alberta	Virginia	0.2044632945141914	5119	1733896	1043704	72282076	6	5724.990962119581	NA
Alberta	Washington	0.20171422480812465	9152	1733896	1891416	72282076	2	5146.850635700479	NA
Alberta	West Virginia	0.08418563420102587	619	1733896	306521	72282076	6	14532.147641571186	NA
Alberta	Wisconsin	0.13742361858383784	3590	1733896	1089032	72282076	4	13566.716096413767	NA
Alberta	Wyoming	0.04501484978479456	874	1733896	809400	72282076	2	9514.576107233104	NA
Arizona	Alabama	0.75948282246768	3030	1536918	187631	72282076	5	5237.034035054968	2041.67
Arizona	Alaska	0.9529398435569649	2226	1536918	109860	72282076	4	14274.267247162732	2560.6
Arizona	Alberta	0.13665169999545773	5038	1536918	1733896	72282076	4	5698.007440893411	NA
Arizona	Arizona	18.27489288787191	597208	1536918	1536918	72282076	0	0	0
Arizona	Arkansas	0.809617343833282	4809	1536918	279354	72282076	3	5559.300635667922	1436.95
Arizona	British Columbia	0.13247071659750048	16256	1536918	5771301	72282076	3	5184.2898530538905	NA
Arizona	California	0.9858191296269151	234057	1536918	11166172	72282076	1	16224.449157640633	138.07
Arizona	Colorado	0.7918702973057533	58951	1536918	3501201	72282076	1	1649.9816796872956	306.36
Arizona	Connecticut	0.4015405827411728	7977	1536918	934308	72282076	7	1467.1586222603948	3261.24
Arizona	Delaware	0.5201241698762157	2888	1536918	261138	72282076	7	5819.482386897947	3090.41
Arizona	District of Columbia	0.5043270777065748	2602	1536918	242647	72282076	6	11210.334260205813	2919.97
Arizona	Florida	0.5781421278592108	30106	1536918	2449054	72282076	6	19136.814646104445	2151.05
Arizona	Georgia	0.7685497274426152	11296	1536918	691246	72282076	5	14617.409892011194	2261.63
Arizona	Hawaii	0.8177650782779188	8003	1536918	460261	72282076	NA	11054.767041846591	4368.55
Arizona	Idaho	0.7152860065333272	4841	1536918	318299	72282076	2	15303.085967677587	653.72
Arizona	Illinois	1.1289429962290216	28708	1536918	1195944	72282076	4	4231.088272120597	1739.4
Arizona	Indiana	0.7039724876532021	6260	1536918	418214	72282076	5	4545.087108108256	2042.73
Arizona	Iowa	0.7027346318987705	4415	1536918	295474	72282076	3	7070.165655592136	1408.28
Arizona	Kansas	0.7274696694161626	3743	1536918	241983	72282076	2	5351.093079532099	871.05
Arizona	Kentucky	0.7021007814510954	3161	1536918	211741	72282076	4	975.5237442460782	1942.5
Arizona	Louisiana	1.098754507849465	11496	1536918	492069	72282076	3	5234.607847571759	1509.39
Arizona	Maine	0.3587160537501331	2019	1536918	264707	72282076	7	14028.642725726451	3507.18
Arizona	Manitoba	0.10527454128815607	395	1536918	176463	72282076	5	8469.033647693723	NA
Arizona	Maryland	0.45088389281265223	9570	1536918	998222	72282076	6	1569.8657992731955	2804.68
Arizona	Massachusetts	0.35787898957557984	25905	1536918	3404296	72282076	7	13914.558348598764	3276.36
Arizona	Mexico	0.8696698858695925	6399	1536918	346049	72282076	1	4659.895468211841	NA
Arizona	Michigan	0.4663560734122308	14403	1536918	1452497	72282076	5	2854.787408583095	2161.02
Arizona	Minnesota	0.6460292934487524	33811	1536918	2461420	72282076	4	14089.029875312444	1463.37
Arizona	Mississippi	0.6314713391246254	1794	1536918	133613	72282076	4	15791.818203353389	1738.45
Arizona	Missouri	0.8932923927185712	6379	1536918	335845	72282076	3	15208.99033477901	1429.66
Arizona	Montana	1.4961817076310828	9405	1536918	295634	72282076	3	9143.576844793814	1078.52
Arizona	Nebraska	1.056383985167145	6600	1536918	293834	72282076	2	17192.714594936588	906.45
Arizona	Nevada	1.4141321727328302	22095	1536918	734825	72282076	1	18823.585666854873	126.5
Arizona	New Brunswick	0.06813220590177334	254	1536918	175332	72282076	7	8522.321158488423	NA
Arizona	New Hampshire	0.29416023618688997	1257	1536918	200970	72282076	7	9685.067290115336	3357.09
Arizona	New Jersey	0.4982034688600341	14828	1536918	1399767	72282076	7	8424.99265137206	3093.45
Arizona	New Mexico	2.0012492827021777	22104	1536918	519457	72282076	1	13682.295690745976	141.6
Arizona	New York	0.47623076875339637	43172	1536918	4263484	72282076	6	3728.12719457174	2768.2
Arizona	Newfoundland and Labrador	0.08311933357312615	72	1536918	40739	72282076	6	15481.470285068825	NA
Arizona	North Carolina	0.5267539379979146	16370	1536918	1461574	72282076	5	19647.60348994525	2467.77
Arizona	North Dakota	1.5047263836811358	10658	1536918	333118	72282076	4	3029.257502737777	1445.85
Arizona	Nova Scotia	0.11924270810958017	512	1536918	201938	72282076	8	10340.567108053969	NA
Arizona	Ohio	0.5978395359106251	7296	1536918	573958	72282076	5	15147.251144765109	2311.13
Arizona	Oklahoma	1.0130919222846186	4286	1536918	198968	72282076	2	8760.554830028314	808.15
Arizona	Ontario	0.1447482603768721	12450	1536918	4045162	72282076	5	9175.872951519284	NA
Arizona	Oregon	0.9433985150262232	13333	1536918	664680	72282076	2	12059.499381820253	898.26
Arizona	Pennsylvania	0.4622163001597336	8690	1536918	884208	72282076	6	10732.584347418317	2688.61
Arizona	Prince Edward Island	0.24854904816095144	59	1536918	11164	72282076	NA	9999.298798600928	NA
Arizona	Quebec	0.122822371469018	4085	1536918	1564208	72282076	6	18989.86643207895	NA
Arizona	Rhode Island	0.3268237441595235	3168	1536918	455881	72282076	8	10397.082773114122	3435.87
Arizona	Saskatchewan	0.10739875847174958	2048	1536918	896831	72282076	4	2442.960959392665	NA
Arizona	South Carolina	0.535612384940421	4151	1536918	364487	72282076	6	8805.109787020054	2473.99
Arizona	South Dakota	1.46752810326072	3119	1536918	99956	72282076	3	10267.689482182788	1139.8
Arizona	Tennessee	1.5568502347648183	16779	1536918	506873	72282076	4	18018.671922415542	1859.86
Arizona	Texas	0.6756616759657265	44587	1536918	3103551	72282076	2	14181.72682527076	403.98
Arizona	Utah	1.4416065628374946	38841	1536918	1267137	72282076	1	17096.88246627463	173.36
Arizona	Vermont	0.2693652782050772	2935	1536918	512444	72282076	7	1366.4245624420969	3287.3
Arizona	Virginia	0.5305954094512381	11775	1536918	1043704	72282076	5	11069.513528537846	2503.05
Arizona	Washington	0.6928951072094619	27866	1536918	1891416	72282076	3	4296.135287847907	1200.99
Arizona	West Virginia	0.7481408755788611	4876	1536918	306521	72282076	5	14868.40805079149	2480.09
Arizona	Wisconsin	0.8425516793832466	19510	1536918	1089032	72282076	4	7893.254120251516	1798.78
Arizona	Wyoming	0.6967422125219295	11991	1536918	809400	72282076	2	4544.857080130137	626.93
Arkansas	Alabama	2.2271201976831847	1615	279354	187631	72282076	2	7510.503675258667	191.46
Arkansas	Alaska	0.5063777192051505	215	279354	109860	72282076	6	11815.932987304152	3519.87
Arkansas	Alberta	0.08401582052801292	563	279354	1733896	72282076	5	1349.9042324424586	NA
Arkansas	Arizona	0.809617343833282	4809	279354	1536918	72282076	3	5559.300635667922	1436.95
Arkansas	Arkansas	88.81104331563151	95884	279354	279354	72282076	0	0	0
Arkansas	British Columbia	0.045461101337554564	1014	279354	5771301	72282076	5	1309.8331788865871	NA
Arkansas	California	0.5629044503421994	24292	279354	11166172	72282076	3	10843.993935180672	1936.53
Arkansas	Colorado	0.7330381364609337	9919	279354	3501201	72282076	2	4567.3800527432995	936.87
Arkansas	Connecticut	0.3359281950133036	1213	279354	934308	72282076	6	5484.932716249776	1569.3
Arkansas	Delaware	0.40228300263335204	406	279354	261138	72282076	4	273.3451932090802	1335.25
Arkansas	District of Columbia	0.5513042493406735	517	279354	242647	72282076	3	11630.357158709692	1160.6
Arkansas	Florida	0.7622785467898858	7215	279354	2449054	72282076	3	15171.094007633774	548.98
Arkansas	Georgia	2.047530681330225	5470	279354	691246	72282076	2	11413.882022199215	406.02
Arkansas	Hawaii	0.26084921069001116	464	279354	460261	72282076	NA	6613.25729848802	6174.78
Arkansas	Idaho	0.3316657395034561	408	279354	318299	72282076	4	14795.929243912542	1642.24
Arkansas	Illinois	0.8489729978825	3924	279354	1195944	72282076	2	7504.021601669718	151.97
Arkansas	Indiana	1.1544863314416862	1866	279354	418214	72282076	3	10056.089250928537	335.44
Arkansas	Iowa	1.03157721724077	1178	279354	295474	72282076	2	7828.016581456408	491.26
Arkansas	Kansas	2.200575314652744	2058	279354	241983	72282076	2	7416.360841915192	114.82
Arkansas	Kentucky	1.5837103858156687	1296	279354	211741	72282076	2	6528.2774095293025	164.69
Arkansas	Louisiana	4.47590986663993	8512	279354	492069	72282076	1	2650.307461825363	55.49
Arkansas	Maine	0.3685120107583283	377	279354	264707	72282076	6	15886.34090794831	1887.96
Arkansas	Manitoba	0.0542530038569694	37	279354	176463	72282076	4	8886.188392763423	NA
Arkansas	Maryland	0.3234917216470686	1248	279354	998222	72282076	3	4210.817963739959	1073.9
Arkansas	Massachusetts	0.2984759270916519	3927	279354	3404296	72282076	6	10358.52580963458	1624.32
Arkansas	Mexico	1.013906282345173	1356	279354	346049	72282076	2	3094.043971733702	NA
Arkansas	Michigan	0.3981420116803059	2235	279354	1452497	72282076	4	4024.924067596654	711.79
Arkansas	Minnesota	0.3191477339888372	3036	279354	2461420	72282076	3	14167.369914233572	822.1
Arkansas	Mississippi	4.074485187265371	2104	279354	133613	72282076	1	16709.82350880966	84.8
Arkansas	Missouri	3.697324648176535	4799	279354	335845	72282076	1	15563.244662194818	42.94
Arkansas	Montana	0.39910409714453	456	279354	295634	72282076	4	14349.096081331185	1626.07
Arkansas	Nebraska	1.2706911549679585	1443	279354	293834	72282076	2	15547.305736691773	513.35
Arkansas	Nevada	0.7130448167967433	2025	279354	734825	72282076	4	15610.65448871322	1852.85
Arkansas	New Brunswick	0.05017570155361787	34	279354	175332	72282076	6	13212.681713083468	NA
Arkansas	New Hampshire	0.38238508120670983	297	279354	200970	72282076	6	10291.851726094812	1720.66
Arkansas	New Jersey	0.38300965639382206	2072	279354	1399767	72282076	5	5550.940896423803	1371.51
Arkansas	New Mexico	1.0012030811570536	2010	279354	519457	72282076	2	8160.169476436385	830.57
Arkansas	New York	0.43423089891593064	7155	279354	4263484	72282076	5	2023.871241474687	1170.46
Arkansas	Newfoundland and Labrador	0.20959421847683485	33	279354	40739	72282076	6	18835.867574743246	NA
Arkansas	North Carolina	1.2849075417157234	7258	279354	1461574	72282076	2	14800.944307324473	623.64
Arkansas	North Dakota	0.9452968286900567	1217	279354	333118	72282076	4	2901.101430272466	1154
Arkansas	Nova Scotia	0.02818904438760946	22	279354	201938	72282076	7	15377.0865803394	NA
Arkansas	Ohio	1.1761688915443655	2609	279354	573958	72282076	3	13420.104560393713	615.56
Arkansas	Oklahoma	5.931336464950715	4561	279354	198968	72282076	1	8978.47848270493	72.44
Arkansas	Ontario	0.1324067573127773	2070	279354	4045162	72282076	4	8101.849930964258	NA
Arkansas	Oregon	0.439108871597523	1128	279354	664680	72282076	4	15872.32251197526	2155.22
