edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	mean_z_x	mean_z_y	max_z
Montana_Washington	Montana	Washington	Rocky Mountain	Far West	USA	USA	4	2021-01-01	2021-10-01	0.052912733137376926	0.055356813564065285	3.7565483069453136	3.671424095686513	3.801380344296347
Montana_Washington	Washington	Montana	Far West	Rocky Mountain	USA	USA	4	2021-01-01	2021-10-01	0.052912733137376926	0.055356813564065285	3.6714240956865125	3.7565483069453136	3.8013803442963465
Ohio_Tennessee	Tennessee	Ohio	Southeast	Great Lakes	USA	USA	4	2020-10-01	2024-04-01	0.15529079243800029	0.12343676333236711	3.0401669385218746	2.620366607470829	3.780767781122604
Ohio_Tennessee	Ohio	Tennessee	Great Lakes	Southeast	USA	USA	4	2020-10-01	2024-04-01	0.15529079243800029	0.12343676333236711	2.620366607470829	3.0401669385218746	3.780767781122603
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	4	2021-07-01	2023-04-01	0.16670806546614286	0.15222615766124561	2.7556687092278747	2.895831623708193	3.265722310615193
New Jersey_Virginia	Virginia	New Jersey	Southeast	Mideast	USA	USA	4	2021-07-01	2023-04-01	0.16670806546614286	0.15222615766124561	2.895831623708193	2.7556687092278747	3.265722310615193
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	4	2022-10-01	2024-10-01	0.42942590660482405	0.35524757938492746	2.717904199507247	2.9841464744758466	3.2187255393618637
Florida_Texas	Texas	Florida	Southwest	Southeast	USA	USA	4	2022-10-01	2024-10-01	0.42942590660482405	0.35524757938492746	2.9841464744758466	2.717904199507247	3.2187255393618632
Montana_Oregon	Montana	Oregon	Rocky Mountain	Far West	USA	USA	4	2020-07-01	2021-10-01	0.044840302521944785	0.04775635984045206	3.1439557632571793	3.142142649386147	2.8134113987142175
Montana_Oregon	Oregon	Montana	Far West	Rocky Mountain	USA	USA	4	2020-07-01	2021-10-01	0.044840302521944785	0.04775635984045206	3.142142649386147	3.1439557632571793	2.8134113987142175
Illinois_Tennessee	Illinois	Tennessee	Great Lakes	Southeast	USA	USA	4	2020-07-01	2024-10-01	0.16346340202600995	0.12851067191495247	2.5972555570135523	2.7957625761546954	2.470715982714314
Illinois_Tennessee	Tennessee	Illinois	Southeast	Great Lakes	USA	USA	4	2020-07-01	2024-10-01	0.16346340202600995	0.12851067191495247	2.7957625761546954	2.5972555570135527	2.470715982714314
California_Florida	California	Florida	Far West	Southeast	USA	USA	4	2021-04-01	2023-10-01	0.25503560442282747	0.20859144644440808	3.221142085463891	2.1949411128048264	2.373675551564713
California_Florida	Florida	California	Southeast	Far West	USA	USA	4	2021-04-01	2023-10-01	0.25503560442282747	0.20859144644440808	2.1949411128048264	3.221142085463891	2.373675551564713
Manitoba_North Dakota	Manitoba	North Dakota	Western Canada	Plains	Canada	USA	3	2023-01-01	2024-10-01	0.08214078280386553	0.07285878598916411	5.5777419241540125	5.636998169355089	5.627956553072676
Manitoba_North Dakota	North Dakota	Manitoba	Plains	Western Canada	USA	Canada	3	2023-01-01	2024-10-01	0.08214078280386553	0.07285878598916411	5.636998169355089	5.5777419241540125	5.627956553072675
New Jersey_Ohio	New Jersey	Ohio	Mideast	Great Lakes	USA	USA	3	2020-04-01	2024-07-01	0.6781370659862246	0.6692607293295005	4.145964583662383	3.982696136991396	5.1248792429772
New Jersey_Ohio	Ohio	New Jersey	Great Lakes	Mideast	USA	USA	3	2020-04-01	2024-07-01	0.6781370659862246	0.6692607293295005	3.982696136991396	4.145964583662383	5.1248792429772
Arizona_Georgia	Arizona	Georgia	Southwest	Southeast	USA	USA	3	2020-07-01	2024-07-01	0.2951772905197082	0.2732266767599341	3.6199500684812733	3.3649317190975006	4.981961808460223
Arizona_Georgia	Georgia	Arizona	Southeast	Southwest	USA	USA	3	2020-07-01	2024-07-01	0.2951772905197082	0.2732266767599341	3.3649317190975006	3.6199500684812733	4.981961808460223
Ohio_Oklahoma	Ohio	Oklahoma	Great Lakes	Southwest	USA	USA	3	2020-01-01	2022-01-01	0.7769343017011108	0.4672641195688893	4.705343008050772	4.549352507131699	4.959389769821303
Ohio_Oklahoma	Oklahoma	Ohio	Southwest	Great Lakes	USA	USA	3	2020-01-01	2022-01-01	0.7769343017011108	0.4672641195688893	4.549352507131699	4.7053430080507725	4.959389769821303
Utah_Washington	Utah	Washington	Rocky Mountain	Far West	USA	USA	3	2020-07-01	2024-04-01	0.18112212509394704	0.12333001450913676	3.8347726433648535	3.122702632920415	4.735621702370679
Utah_Washington	Washington	Utah	Far West	Rocky Mountain	USA	USA	3	2020-07-01	2024-04-01	0.18112212509394704	0.12333001450913676	3.1227026329204146	3.8347726433648535	4.735621702370679
Kansas_New Mexico	Kansas	New Mexico	Plains	Southwest	USA	USA	3	2020-10-01	2024-01-01	0.19285216000033809	0.08984466327515583	3.4124862336634463	4.834072392254354	4.194327878206617
Kansas_New Mexico	New Mexico	Kansas	Southwest	Plains	USA	USA	3	2020-10-01	2024-01-01	0.19285216000033809	0.08984466327515583	4.834072392254354	3.4124862336634463	4.194327878206617
Indiana_Tennessee	Indiana	Tennessee	Great Lakes	Southeast	USA	USA	3	2021-04-01	2021-10-01	0.10847529768059676	0.12270691398527472	3.371739779168904	3.402387286455015	4.139834980893034
Indiana_Tennessee	Tennessee	Indiana	Southeast	Great Lakes	USA	USA	3	2021-04-01	2021-10-01	0.10847529768059676	0.12270691398527472	3.402387286455015	3.3717397791689034	4.139834980893033
Tennessee_Texas	Tennessee	Texas	Southeast	Southwest	USA	USA	3	2020-07-01	2021-10-01	0.12602168747209655	0.07180599229640651	3.5602366968955983	4.138643243021015	4.082947756433431
Tennessee_Texas	Texas	Tennessee	Southwest	Southeast	USA	USA	3	2020-07-01	2021-10-01	0.12602168747209655	0.07180599229640651	4.138643243021015	3.5602366968955983	4.082947756433431
Georgia_Illinois	Georgia	Illinois	Southeast	Great Lakes	USA	USA	3	2020-01-01	2021-04-01	0.15073174623487967	0.1117731099188968	3.241542993316342	3.2615029276065615	3.701073570089126
Georgia_Illinois	Illinois	Georgia	Great Lakes	Southeast	USA	USA	3	2020-01-01	2021-04-01	0.15073174623487967	0.1117731099188968	3.2615029276065615	3.241542993316342	3.701073570089126
California_Utah	California	Utah	Far West	Rocky Mountain	USA	USA	3	2020-01-01	2023-04-01	0.25094897675273464	0.13769850644328063	2.6910907583695454	3.3310727671900207	3.558976311139457
California_Utah	Utah	California	Rocky Mountain	Far West	USA	USA	3	2020-01-01	2023-04-01	0.25094897675273464	0.13769850644328063	3.331072767190021	2.6910907583695454	3.558976311139457
District of Columbia_South Carolina	District of Columbia	South Carolina	Mideast	Southeast	USA	USA	3	2021-10-01	2024-04-01	0.1332547035632241	0.14348862410120722	2.575619911773805	3.630310736254883	3.1119426967289057
District of Columbia_South Carolina	South Carolina	District of Columbia	Southeast	Mideast	USA	USA	3	2021-10-01	2024-04-01	0.1332547035632241	0.14348862410120722	3.6303107362548834	2.5756199117738046	3.1119426967289052
New York_Virginia	New York	Virginia	Mideast	Southeast	USA	USA	3	2022-04-01	2023-04-01	0.2289291183122584	0.264676950585721	2.9071847099961245	2.6954712791119695	3.06229156202781
New York_Virginia	Virginia	New York	Southeast	Mideast	USA	USA	3	2022-04-01	2023-04-01	0.2289291183122584	0.264676950585721	2.6954712791119695	2.907184709996124	3.06229156202781
Minnesota_Utah	Utah	Minnesota	Rocky Mountain	Plains	USA	USA	3	2021-01-01	2024-01-01	0.16017400140202318	0.06443244965109747	3.209519196199704	3.4391804425779515	3.0293753879638827
Minnesota_Utah	Minnesota	Utah	Plains	Rocky Mountain	USA	USA	3	2021-01-01	2024-01-01	0.16017400140202318	0.06443244965109747	3.4391804425779515	3.2095191961997034	3.0293753879638823
Georgia_Ohio	Georgia	Ohio	Southeast	Great Lakes	USA	USA	3	2021-04-01	2022-01-01	0.11022696078078095	0.13019741634690157	3.0960553741715393	2.9386892571193766	3.0249584939061624
Georgia_Ohio	Ohio	Georgia	Great Lakes	Southeast	USA	USA	3	2021-04-01	2022-01-01	0.11022696078078095	0.13019741634690157	2.9386892571193766	3.096055374171539	3.0249584939061624
North Carolina_Texas	North Carolina	Texas	Southeast	Southwest	USA	USA	3	2023-01-01	2024-10-01	0.4541009109140865	0.35724765993623625	3.0698246157016524	2.3522444337392407	2.756218955492858
North Carolina_Texas	Texas	North Carolina	Southwest	Southeast	USA	USA	3	2023-01-01	2024-10-01	0.4541009109140865	0.35724765993623625	2.3522444337392407	3.069824615701652	2.7562189554928573
New Jersey_Texas	New Jersey	Texas	Mideast	Southwest	USA	USA	3	2023-04-01	2024-10-01	0.4543304096560136	0.3835142924037209	2.3753353971751388	2.5763146132997337	2.7543861913481087
New Jersey_Texas	Texas	New Jersey	Southwest	Mideast	USA	USA	3	2023-04-01	2024-10-01	0.4543304096560136	0.3835142924037209	2.5763146132997337	2.3753353971751383	2.7543861913481087
Pennsylvania_Texas	Pennsylvania	Texas	Mideast	Southwest	USA	USA	3	2023-07-01	2024-10-01	0.47378705156496637	0.37557035613322626	2.8828438627734925	2.4052490155319597	2.661709388053332
Pennsylvania_Texas	Texas	Pennsylvania	Southwest	Mideast	USA	USA	3	2023-07-01	2024-10-01	0.47378705156496637	0.37557035613322626	2.4052490155319597	2.882843862773492	2.661709388053332
